dataset,query_idx,M,efConstruction,efSearch,k,Rt,baseline_recall,darth_recall,is_failure,difficulty_1nn_dist,query_norm
sift128,4107,16,200,200,10,0.9,1.0,1.0,False,229.00874,508.90863
sift128,4108,16,200,200,10,0.9,0.4,0.4,False,209.18173,507.5224
sift128,4109,16,200,200,10,0.9,1.0,1.0,False,145.70518,508.68655
sift128,4110,16,200,200,10,0.9,0.9,0.9,False,214.78593,507.89664
sift128,4111,16,200,200,10,0.9,0.8,0.8,False,169.49336,508.16336
sift128,4112,16,200,200,10,0.9,0.6,0.6,False,205.9733,507.94586
sift128,4113,16,200,200,10,0.9,1.0,1.0,False,202.55864,509.43497
sift128,4114,16,200,200,10,0.9,0.9,0.9,False,199.31383,508.54794
sift128,4115,16,200,200,10,0.9,0.7,0.7,False,262.63474,509.24945
sift128,4116,16,200,200,10,0.9,0.6,0.6,False,221.48814,508.34143
sift128,4117,16,200,200,10,0.9,0.8,0.8,False,242.9465,508.75043
sift128,4118,16,200,200,10,0.9,0.6,0.6,False,206.88644,507.4308
sift128,4119,16,200,200,10,0.9,0.5,0.5,False,177.32455,507.9242
sift128,4120,16,200,200,10,0.9,0.7,0.7,False,196.09947,508.944
sift128,4121,16,200,200,10,0.9,0.7,0.7,False,228.52571,508.72684
sift128,4122,16,200,200,10,0.9,0.8,0.8,False,228.72473,507.95078
sift128,4123,16,200,200,10,0.9,0.9,0.9,False,227.36972,508.8772
sift128,4124,16,200,200,10,0.9,0.7,0.7,False,208.65521,508.5794
sift128,4125,16,200,200,10,0.9,0.4,0.4,False,243.89752,508.86148
sift128,4126,16,200,200,10,0.9,0.7,0.7,False,209.10522,509.47128
sift128,4127,16,200,200,10,0.9,1.0,1.0,False,212.00471,509.19543
sift128,4128,16,200,200,10,0.9,0.8,0.8,False,250.3897,508.6836
sift128,4129,16,200,200,10,0.9,0.8,0.8,False,252.42227,508.24698
sift128,4130,16,200,200,10,0.9,0.7,0.7,False,177.82857,509.01178
sift128,4131,16,200,200,10,0.9,0.6,0.6,False,271.1918,508.3188
sift128,4132,16,200,200,10,0.9,0.4,0.4,False,236.52695,507.80606
sift128,4133,16,200,200,10,0.9,0.6,0.6,False,200.46695,509.35843
sift128,4134,16,200,200,10,0.9,0.8,0.8,False,197.14969,507.84348
sift128,4135,16,200,200,10,0.9,0.5,0.5,False,273.83572,508.06494
sift128,4136,16,200,200,10,0.9,0.9,0.9,False,234.01068,508.79663
sift128,4137,16,200,200,10,0.9,0.9,0.9,False,259.16403,508.68753
sift128,4138,16,200,200,10,0.9,0.9,0.9,False,212.60527,508.59808
sift128,4139,16,200,200,10,0.9,0.8,0.8,False,254.7646,508.93616
sift128,4140,16,200,200,10,0.9,0.8,0.8,False,291.13742,507.2731
sift128,4141,16,200,200,10,0.9,0.7,0.7,False,238.98117,509.4026
sift128,4142,16,200,200,10,0.9,1.0,1.0,False,207.75467,507.5628
sift128,4143,16,200,200,10,0.9,0.9,0.9,False,248.64432,508.09546
sift128,4144,16,200,200,10,0.9,0.7,0.7,False,231.77791,508.73273
sift128,4145,16,200,200,10,0.9,0.7,0.7,False,234.29895,508.603
sift128,4146,16,200,200,10,0.9,1.0,1.0,False,194.88458,509.71854
sift128,4147,16,200,200,10,0.9,0.7,0.7,False,191.09683,508.27356
sift128,4148,16,200,200,10,0.9,0.8,0.8,False,275.4669,509.001
sift128,4149,16,200,200,10,0.9,0.7,0.7,False,169.54941,509.59787
sift128,4150,16,200,200,10,0.9,0.5,0.5,False,242.07643,509.08743
sift128,4151,16,200,200,10,0.9,0.7,0.7,False,196.44592,508.4132
sift128,4152,16,200,200,10,0.9,0.4,0.4,False,255.47015,508.42206
sift128,4153,16,200,200,10,0.9,0.7,0.7,False,253.79126,507.90057
sift128,4154,16,200,200,10,0.9,0.8,0.8,False,214.51573,508.90372
sift128,4155,16,200,200,10,0.9,0.5,0.5,False,206.79942,508.79172
sift128,4156,16,200,200,10,0.9,0.6,0.6,False,186.74582,508.13974
sift128,4157,16,200,200,10,0.9,1.0,1.0,False,245.9939,508.68164
sift128,4158,16,200,200,10,0.9,0.8,0.8,False,220.4019,507.9744
sift128,4159,16,200,200,10,0.9,1.0,1.0,False,188.4675,508.8988
sift128,4160,16,200,200,10,0.9,0.8,0.8,False,233.12228,508.93713
sift128,4161,16,200,200,10,0.9,0.8,0.8,False,276.99097,509.0894
sift128,4162,16,200,200,10,0.9,0.8,0.8,False,240.58055,507.90256
sift128,4163,16,200,200,10,0.9,0.8,0.8,False,201.2933,508.9165
sift128,4164,16,200,200,10,0.9,0.8,0.8,False,265.44867,508.88995
sift128,4165,16,200,200,10,0.9,0.5,0.5,False,238.42189,508.544
sift128,4166,16,200,200,10,0.9,0.2,0.2,False,241.75607,508.32764
sift128,4167,16,200,200,10,0.9,0.8,0.8,False,222.82729,509.0609
sift128,4168,16,200,200,10,0.9,0.6,0.6,False,232.40051,508.50958
sift128,4169,16,200,200,10,0.9,1.0,1.0,False,178.35638,509.56256
sift128,4170,16,200,200,10,0.9,0.9,0.9,False,197.74731,509.20035
sift128,4171,16,200,200,10,0.9,0.6,0.6,False,242.18175,509.3103
sift128,4172,16,200,200,10,0.9,0.9,0.9,False,258.51694,507.98917
sift128,4173,16,200,200,10,0.9,0.9,0.9,False,231.20985,507.7972
sift128,4174,16,200,200,10,0.9,0.5,0.5,False,260.22107,507.6278
sift128,4175,16,200,200,10,0.9,0.8,0.8,False,293.9167,507.51947
sift128,4176,16,200,200,10,0.9,0.8,0.8,False,245.84752,508.2824
sift128,4177,16,200,200,10,0.9,0.6,0.6,False,264.59213,507.24847
sift128,4178,16,200,200,10,0.9,0.8,0.8,False,223.92856,508.70816
sift128,4179,16,200,200,10,0.9,0.9,0.9,False,270.25174,508.1988
sift128,4180,16,200,200,10,0.9,0.6,0.6,False,252.1805,507.90747
sift128,4181,16,200,200,10,0.9,0.6,0.6,False,227.83546,508.20667
sift128,4182,16,200,200,10,0.9,1.0,1.0,False,171.1549,508.92828
sift128,4183,16,200,200,10,0.9,0.8,0.8,False,221.78593,509.23178
sift128,4184,16,200,200,10,0.9,0.6,0.6,False,234.55063,509.14243
sift128,4185,16,200,200,10,0.9,1.0,1.0,False,223.91516,508.54303
sift128,4186,16,200,200,10,0.9,0.8,0.8,False,248.14714,508.03052
sift128,4187,16,200,200,10,0.9,0.5,0.5,False,253.27258,508.2155
sift128,4188,16,200,200,10,0.9,0.8,0.8,False,278.23553,509.11002
sift128,4189,16,200,200,10,0.9,0.6,0.6,False,263.784,507.92914
sift128,4190,16,200,200,10,0.9,0.6,0.6,False,249.91998,508.1742
sift128,4191,16,200,200,10,0.9,0.9,0.9,False,238.51625,507.71448
sift128,4192,16,200,200,10,0.9,0.2,0.2,False,246.25394,509.08743
sift128,4193,16,200,200,10,0.9,0.8,0.8,False,203.4871,507.99014
sift128,4194,16,200,200,10,0.9,1.0,1.0,False,177.15529,508.9725
sift128,4195,16,200,200,10,0.9,0.8,0.8,False,213.64691,508.9008
sift128,4196,16,200,200,10,0.9,0.6,0.6,False,255.95117,508.7298
sift128,4197,16,200,200,10,0.9,0.6,0.6,False,253.79323,508.36307
sift128,4198,16,200,200,10,0.9,0.5,0.5,False,234.14525,508.23615
sift128,4199,16,200,200,10,0.9,1.0,1.0,False,224.36354,507.5106
sift128,4200,16,200,200,10,0.9,0.4,0.4,False,270.1629,508.74255
sift128,4201,16,200,200,10,0.9,0.8,0.8,False,258.7064,508.78778
sift128,4202,16,200,200,10,0.9,0.8,0.8,False,193.39339,508.74847
sift128,4203,16,200,200,10,0.9,0.6,0.6,False,264.6356,508.53418
sift128,4204,16,200,200,10,0.9,0.9,0.9,False,174.26704,508.6364
sift128,4205,16,200,200,10,0.9,1.0,1.0,False,212.05424,507.59924
sift128,4206,16,200,200,10,0.9,0.7,0.7,False,213.1056,507.7903
sift128,4207,16,200,200,10,0.9,1.0,1.0,False,228.54103,507.95767
sift128,4208,16,200,200,10,0.9,1.0,1.0,False,92.9247,510.1382
sift128,4209,16,200,200,10,0.9,0.8,0.8,False,182.30469,508.53317
sift128,4210,16,200,200,10,0.9,1.0,1.0,False,211.64594,507.7066
