query_id,method,recall,latency_ms,true_neighbors_found,terminated_early,actual_ef_used,max_ef_allowed,num_iterations,num_distance_computations,num_nodes_visited,distance_to_best,distance_to_worst_in_topk,distance_ratio,method_specific,query_d1nn_distance,query_dknn_distance,query_local_density,failure_type,recall_gap_from_oracle,d1nn,dknn,d_ratio,local_density,isolation_score,intrinsic_dim,difficulty,difficulty_score
69,hnsw_ef20,1.0,1.611,10,False,20,20,0,0,0,71189.0,87094.0,1.0,{},0.0,0.0,0.0,none,0.0,266.81268310546875,295.1169128417969,1.1060827746525816,5019,0.4969248629170947,0.3374790629576723,easy,0.0
70,hnsw_ef20,1.0,0.871,10,False,20,20,0,0,0,2192.0,25387.0,1.0,{},0.0,0.0,0.0,none,0.0,46.81879806518555,159.33297729492188,3.403183846648166,2,0.087197596979634,10.779754445988518,very_hard,0.8999999999999999
71,hnsw_ef20,1.0,1.178,10,False,20,20,0,0,0,37510.0,76084.0,1.0,{},0.0,0.0,0.0,none,0.0,193.67498779296875,275.8332824707031,1.4242070471462143,336,0.36070967706376755,3.450762679125864,medium,0.2
72,hnsw_ef20,1.0,2.008,10,False,20,20,0,0,0,91937.0,112634.0,1.0,{},0.0,0.0,0.0,none,0.0,303.2111511230469,335.6098937988281,1.1068520816460126,6681,0.5647151325531057,0.21898997078623703,easy,0.0
73,hnsw_ef20,1.0,1.379,10,False,20,20,0,0,0,53111.0,91810.0,1.0,{},0.0,0.0,0.0,none,0.0,230.45823669433594,303.00164794921875,1.3147789911761731,1889,0.42921658125292084,1.4690799941828996,easy,0.1
74,hnsw_ef20,0.9,1.8,9,False,20,20,0,0,0,17186.0,54202.0,1.0,{},0.0,0.0,0.0,none,0.0,131.0953826904297,232.5381622314453,1.7738089432223856,69,0.24415838975223964,3.8381602962008614,medium,0.30000000000000004
75,hnsw_ef20,1.0,1.281,10,False,20,20,0,0,0,44970.0,97812.0,1.0,{},0.0,0.0,0.0,none,0.0,212.06130981445312,312.7491149902344,1.4748051649019798,892,0.3949532536574037,3.2394401877929218,medium,0.2
76,hnsw_ef20,0.9,1.547,9,False,20,20,0,0,0,63130.0,87984.0,1.0,{},0.0,0.0,0.0,none,0.0,251.2568359375,293.5660095214844,1.1683901392219584,2639,0.46795289977227483,0.721405466985853,easy,0.0
77,hnsw_ef20,0.9,1.835,9,False,20,20,0,0,0,86269.0,112447.0,1.0,{},0.0,0.0,0.0,none,0.0,293.7158508300781,335.0731201171875,1.1408070731294497,7286,0.5470306254242786,0.5883511420681529,easy,0.0
78,hnsw_ef20,1.0,1.699,10,False,20,20,0,0,0,51469.0,74257.0,1.0,{},0.0,0.0,0.0,none,0.0,226.8677978515625,272.5013732910156,1.2011461118395954,3545,0.4225295740649899,0.6442553638926168,easy,0.0
