query_id,method,recall,latency_ms,true_neighbors_found,terminated_early,actual_ef_used,max_ef_allowed,num_iterations,num_distance_computations,num_nodes_visited,distance_to_best,distance_to_worst_in_topk,distance_ratio,method_specific,query_d1nn_distance,query_dknn_distance,query_local_density,failure_type,recall_gap_from_oracle
46,hnsw_ef50,1.0,2.386,10,False,50,50,0,0,0,9926.0,58929.0,1.0,{},0.0,0.0,0.0,none,0.0
47,hnsw_ef50,1.0,3.982,10,False,50,50,0,0,0,86668.0,114233.0,1.0,{},0.0,0.0,0.0,none,0.0
48,hnsw_ef50,1.0,3.178,10,False,50,50,0,0,0,24262.0,102124.0,1.0,{},0.0,0.0,0.0,none,0.0
49,hnsw_ef50,1.0,3.209,10,False,50,50,0,0,0,16585.0,54822.0,1.0,{},0.0,0.0,0.0,none,0.0
50,hnsw_ef50,1.0,2.933,10,False,50,50,0,0,0,32812.0,89218.0,1.0,{},0.0,0.0,0.0,none,0.0
51,hnsw_ef50,1.0,2.5469999999999997,10,False,50,50,0,0,0,17112.0,66730.0,1.0,{},0.0,0.0,0.0,none,0.0
52,hnsw_ef50,1.0,3.6319999999999997,10,False,50,50,0,0,0,39512.0,53497.0,1.0,{},0.0,0.0,0.0,none,0.0
53,hnsw_ef50,1.0,3.283,10,False,50,50,0,0,0,37705.0,66565.0,1.0,{},0.0,0.0,0.0,none,0.0
54,hnsw_ef50,1.0,1.645,10,False,50,50,0,0,0,25379.0,29993.0,1.0,{},0.0,0.0,0.0,none,0.0
55,hnsw_ef50,1.0,2.263,10,False,50,50,0,0,0,33872.0,52309.0,1.0,{},0.0,0.0,0.0,none,0.0
56,hnsw_ef50,1.0,3.3600000000000003,10,False,50,50,0,0,0,36380.0,48758.0,1.0,{},0.0,0.0,0.0,none,0.0
57,hnsw_ef50,1.0,3.605,10,False,50,50,0,0,0,27938.0,62801.0,1.0,{},0.0,0.0,0.0,none,0.0
58,hnsw_ef50,1.0,3.2070000000000003,10,False,50,50,0,0,0,4322.0,109499.0,1.0,{},0.0,0.0,0.0,none,0.0
59,hnsw_ef50,1.0,1.671,10,False,50,50,0,0,0,13091.0,29119.0,1.0,{},0.0,0.0,0.0,none,0.0
60,hnsw_ef50,1.0,5.753,10,False,50,50,0,0,0,29005.0,81397.0,1.0,{},0.0,0.0,0.0,none,0.0
61,hnsw_ef50,1.0,2.7279999999999998,10,False,50,50,0,0,0,19700.0,70796.0,1.0,{},0.0,0.0,0.0,none,0.0
62,hnsw_ef50,1.0,1.6949999999999998,10,False,50,50,0,0,0,17332.0,59702.0,1.0,{},0.0,0.0,0.0,none,0.0
63,hnsw_ef50,1.0,2.218,10,False,50,50,0,0,0,9009.0,51518.0,1.0,{},0.0,0.0,0.0,none,0.0
64,hnsw_ef50,1.0,2.19,10,False,50,50,0,0,0,19120.0,69118.0,1.0,{},0.0,0.0,0.0,none,0.0
65,hnsw_ef50,1.0,2.261,10,False,50,50,0,0,0,30061.0,59443.0,1.0,{},0.0,0.0,0.0,none,0.0
66,hnsw_ef50,1.0,2.254,10,False,50,50,0,0,0,40347.0,85595.0,1.0,{},0.0,0.0,0.0,none,0.0
67,hnsw_ef50,1.0,2.5730000000000004,10,False,50,50,0,0,0,50277.0,77892.0,1.0,{},0.0,0.0,0.0,none,0.0
68,hnsw_ef50,1.0,2.3609999999999998,10,False,50,50,0,0,0,40526.0,48625.0,1.0,{},0.0,0.0,0.0,none,0.0
69,hnsw_ef50,1.0,3.2750000000000004,10,False,50,50,0,0,0,71189.0,87094.0,1.0,{},0.0,0.0,0.0,none,0.0
70,hnsw_ef50,1.0,1.609,10,False,50,50,0,0,0,2192.0,25387.0,1.0,{},0.0,0.0,0.0,none,0.0
71,hnsw_ef50,1.0,2.4459999999999997,10,False,50,50,0,0,0,37510.0,76084.0,1.0,{},0.0,0.0,0.0,none,0.0
72,hnsw_ef50,1.0,3.7190000000000003,10,False,50,50,0,0,0,91937.0,112634.0,1.0,{},0.0,0.0,0.0,none,0.0
73,hnsw_ef50,1.0,2.6940000000000004,10,False,50,50,0,0,0,53111.0,91810.0,1.0,{},0.0,0.0,0.0,none,0.0
74,hnsw_ef50,1.0,3.4979999999999998,10,False,50,50,0,0,0,17186.0,54074.0,1.0,{},0.0,0.0,0.0,none,0.0
75,hnsw_ef50,1.0,2.8960000000000004,10,False,50,50,0,0,0,44970.0,97812.0,1.0,{},0.0,0.0,0.0,none,0.0
76,hnsw_ef50,0.9,2.794,9,False,50,50,0,0,0,63130.0,87984.0,1.0,{},0.0,0.0,0.0,none,0.0
77,hnsw_ef50,1.0,3.935,10,False,50,50,0,0,0,86269.0,112274.0,1.0,{},0.0,0.0,0.0,none,0.0
78,hnsw_ef50,1.0,4.164000000000001,10,False,50,50,0,0,0,51469.0,74257.0,1.0,{},0.0,0.0,0.0,none,0.0
79,hnsw_ef50,1.0,2.301,10,False,50,50,0,0,0,21953.0,47928.0,1.0,{},0.0,0.0,0.0,none,0.0
80,hnsw_ef50,1.0,3.402,10,False,50,50,0,0,0,21407.0,97059.0,1.0,{},0.0,0.0,0.0,none,0.0
81,hnsw_ef50,1.0,3.871,10,False,50,50,0,0,0,76629.0,94504.0,1.0,{},0.0,0.0,0.0,none,0.0
82,hnsw_ef50,1.0,4.355,10,False,50,50,0,0,0,73974.0,92780.0,1.0,{},0.0,0.0,0.0,none,0.0
83,hnsw_ef50,1.0,4.118,10,False,50,50,0,0,0,32981.0,71927.0,1.0,{},0.0,0.0,0.0,none,0.0
84,hnsw_ef50,1.0,4.381,10,False,50,50,0,0,0,37125.0,69971.0,1.0,{},0.0,0.0,0.0,none,0.0
85,hnsw_ef50,1.0,2.8289999999999997,10,False,50,50,0,0,0,81286.0,156301.0,1.0,{},0.0,0.0,0.0,none,0.0
86,hnsw_ef50,1.0,2.713,10,False,50,50,0,0,0,50583.0,88690.0,1.0,{},0.0,0.0,0.0,none,0.0
87,hnsw_ef50,1.0,2.8489999999999998,10,False,50,50,0,0,0,15267.0,83244.0,1.0,{},0.0,0.0,0.0,none,0.0
88,hnsw_ef50,1.0,2.611,10,False,50,50,0,0,0,5637.0,40609.0,1.0,{},0.0,0.0,0.0,none,0.0
89,hnsw_ef50,1.0,2.669,10,False,50,50,0,0,0,13118.0,47442.0,1.0,{},0.0,0.0,0.0,none,0.0
90,hnsw_ef50,1.0,3.3019999999999996,10,False,50,50,0,0,0,2546.0,31244.0,1.0,{},0.0,0.0,0.0,none,0.0
91,hnsw_ef50,1.0,2.7169999999999996,10,False,50,50,0,0,0,88820.0,118161.0,1.0,{},0.0,0.0,0.0,none,0.0
92,hnsw_ef50,1.0,3.9690000000000003,10,False,50,50,0,0,0,20012.0,104917.0,1.0,{},0.0,0.0,0.0,none,0.0
93,hnsw_ef50,1.0,2.872,10,False,50,50,0,0,0,55119.0,74990.0,1.0,{},0.0,0.0,0.0,none,0.0
94,hnsw_ef50,1.0,1.88,10,False,50,50,0,0,0,25783.0,73191.0,1.0,{},0.0,0.0,0.0,none,0.0
95,hnsw_ef50,1.0,3.37,10,False,50,50,0,0,0,93264.0,111923.0,1.0,{},0.0,0.0,0.0,none,0.0
